Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Water,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Vitamins.Vitamin B12,Result
Egg salad,"Egg salad, made with Italian dressing",32103040,0,3.38,295,0,10.02,72.01,9,139,117,0.88,Yes
Egg salad,"Egg salad, made with light Italian dressing",32103045,0,2.19,300,0,10.16,73.43,8,140,108,0.9,Yes
Egg Salad,"Egg Salad, made with any type of fat free dressing",32103050,0,4.29,291,0.4,9.8,75.23,8,134,109,0.86,No
Huevos rancheros,Huevos rancheros,32105180,0,8.76,161,1.6,6.82,76.06,21,137,219,0.33,No
Egg casserole with bread,"Egg casserole with bread, cheese, milk and meat",32105190,0,10.18,106,0.4,11.47,66.83,17,181,185,0.47,Yes
Egg foo yung,"Egg foo yung, NFS",32105200,0,5.09,217,0.3,11.76,75.13,19,173,145,0.76,No
Chicken egg foo yung,Chicken egg foo yung,32105210,0,4.68,190,0.3,12.86,73.65,15,156,175,0.42,Yes
Pork egg foo yung,Pork egg foo yung,32105220,0,4.68,182,0.3,13.36,72.3,17,159,213,0.52,Yes
Shrimp egg foo yung,Shrimp egg foo yung,32105230,0,5.09,217,0.3,11.76,75.13,19,173,145,0.76,Yes
Beef egg foo yung,Beef egg foo yung,32105240,0,4.68,185,0.3,13.89,71.94,14,144,168,0.78,Yes
Ripe plantain omelet,"Ripe plantain omelet, Puerto Rican style",32105310,183,18.09,174,0.9,6.58,58.45,26,110,308,0.35,No
Scrambled eggs with jerked beef,"Scrambled eggs with jerked beef, Puerto Rican style",32105330,0,2.97,261,0.2,21.4,51.73,17,204,208,1.12,No
Eggs a la Malaguena,"Eggs a la Malaguena, Puerto Rican style",32110100,2,4.86,163,1.7,8.46,79.46,16,125,213,0.35,No
Shrimp-egg patty,Shrimp-egg patty,32110150,0,11.77,495,0.6,28.36,19.92,41,408,268,1.82,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, NS as to fat",32129990,0,0.68,351,0,11.72,71.71,11,185,129,0.67,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, made with margarine",32130000,0,0.72,347,0,11.72,73.08,11,185,130,0.66,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, made with oil",32130010,0,0.67,347,0,11.7,70.97,11,185,129,0.66,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, made with butter",32130020,0,0.68,361,0,11.76,72.03,11,186,130,0.68,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, made with animal fat or meat drippings",32130040,0,0.67,353,0,11.85,71.22,11,185,130,0.68,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, made with cooking spray",32130060,0,0.92,367,0,12.4,75.18,12,195,136,0.7,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, NS as to fat type",32130065,0,0.68,351,0,11.72,71.71,11,185,129,0.67,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, no added fat",32130070,0,0.72,371,0,12.52,75.92,12,197,138,0.71,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, from fast food / restaurant",32130080,0,0.67,347,0,11.7,70.97,11,185,129,0.66,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, made with margarine",32130100,0,1.16,315,0,12.82,69.1,13,237,133,0.76,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, made with oil",32130110,0,1.12,315,0,12.82,67.25,13,236,131,0.76,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, made with butter",32130120,0,1.12,327,0,12.86,68.18,13,237,132,0.77,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, made with animal fat or meat drippings",32130140,0,1.12,321,0,12.94,67.47,13,237,132,0.77,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, made with cooking spray",32130160,0,1.35,331,0,13.48,70.72,14,248,138,0.8,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, no added fat",32130170,0,1.19,334,0,13.59,71.33,14,250,139,0.81,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, NS as to fat",32130190,0,0.8,317,0,12.84,69.8,13,193,159,0.68,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, made with margarine",32130200,0,0.83,314,0,12.83,71,13,193,159,0.68,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, made with oil",32130210,0,0.79,314,0,12.82,69.15,12,192,158,0.68,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, made with butter",32130220,0,0.79,326,0,12.87,70.07,13,193,159,0.69,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings",32130240,0,0.79,319,0,12.95,69.37,13,193,159,0.69,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, made with cooking spray",32130260,0,1,330,0,13.49,72.72,13,202,166,0.71,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, NS as to fat type",32130265,0,0.8,317,0,12.84,69.8,13,193,159,0.68,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, no added fat",32130270,0,0.83,333,0,13.6,73.34,13,204,167,0.72,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat",32130290,0,1.16,301,0,13.44,67.01,14,237,150,0.77,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and meat, made with margarine",32130300,0,1.2,297,0,13.43,68.12,14,237,150,0.76,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and meat, made with oil",32130310,0,1.16,297,0,13.42,66.41,14,237,149,0.76,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and meat, made with butter",32130320,0,1.16,309,0,13.46,67.26,14,238,150,0.77,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and meat, made with animal fat or meat drippings",32130340,0,1.16,302,0,13.54,66.61,14,237,150,0.77,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and meat, made with cooking spray",32130360,0,1.37,311,0,14.06,69.56,15,248,156,0.8,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat type",32130365,0,1.16,301,0,13.44,67.01,14,237,150,0.77,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and meat, no added fat",32130370,0,1.22,314,0,14.17,70.12,15,250,157,0.81,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with tomatoes, fat added",32130400,13,1.27,308,0.2,10.42,74.27,12,166,148,0.58,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with tomatoes, no added fat",32130410,13,1.34,323,0.2,11.04,78.09,12,176,156,0.62,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with tomatoes, NS as to fat",32130420,13,1.27,308,0.2,10.42,74.27,12,166,148,0.58,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with dark-green vegetables, fat added",32130430,1,1.26,308,0.3,10.65,73.91,18,169,179,0.58,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with dark-green vegetables, no added fat",32130440,1,1.32,323,0.3,11.28,77.71,20,179,189,0.62,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with dark-green vegetables, NS as to fat",32130450,1,1.26,308,0.3,10.65,73.91,18,169,179,0.58,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, fat added",32130460,7,1.3,305,0.3,10.47,74.22,15,167,165,0.58,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, no fat added",32130470,7,1.37,320,0.3,11.08,78.01,16,176,175,0.61,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, NS as to fat",32130480,7,1.3,305,0.3,10.47,74.22,15,167,165,0.58,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, fat added",32130490,0,1.19,308,0.2,10.71,74,11,174,158,0.59,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, no added fat",32130500,0,1.25,323,0.2,11.34,77.8,12,184,167,0.62,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with vegetables other than dark green and/or tomatoes, NS as to fat",32130510,0,1.19,308,0.2,10.71,74,11,174,158,0.59,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and tomatoes, fat added",32130600,11,1.6,284,0.2,11.55,70.59,13,214,148,0.68,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and tomatoes, no added fat",32130610,12,1.68,296,0.2,12.16,73.78,14,225,155,0.71,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and tomatoes, NS as to fat",32130620,11,1.6,284,0.2,11.55,70.59,13,214,148,0.68,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, fat added",32130630,1,1.59,284,0.3,11.76,70.27,20,217,176,0.68,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, no added fat",32130640,1,1.67,296,0.3,12.37,73.44,21,228,185,0.71,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and dark-green vegetables, NS as to fat",32130650,1,1.59,284,0.3,11.76,70.27,20,217,176,0.68,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, fat added",32130660,6,1.63,282,0.2,11.58,70.58,17,214,164,0.68,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, no added fat",32130670,7,1.7,294,0.2,12.19,73.74,18,225,172,0.71,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, NS as to fat",32130680,6,1.63,282,0.2,11.58,70.58,17,214,164,0.68,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat added",32130690,0,1.53,284,0.1,11.81,70.35,13,221,157,0.68,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, no added fat",32130700,0,1.6,296,0.2,12.43,73.53,14,233,165,0.72,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, NS as to fat",32130710,0,1.53,284,0.1,11.81,70.35,13,221,157,0.68,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and tomatoes, fat added",32130800,12,1.3,290,0.2,11.21,72.89,12,172,164,0.6,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and tomatoes, no added fat",32130810,12,1.36,303,0.2,11.82,76.33,13,181,173,0.63,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and tomatoes, NS as to fat",32130820,12,1.3,290,0.2,11.21,72.89,12,172,164,0.6,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and dark-green vegetables, fat added",32130830,1,1.28,290,0.3,11.42,72.56,19,175,193,0.6,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and dark-green vegetables, no added fat",32130840,1,1.35,303,0.3,12.04,75.98,20,184,204,0.63,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and dark-green vegetables, NS as to fat",32130850,1,1.28,290,0.3,11.42,72.56,19,175,193,0.6,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, fat added",32130860,6,1.33,281,0.2,11.59,72.26,16,175,187,0.6,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, no added fat",32130870,7,1.39,292,0.2,12.19,75.51,17,184,197,0.63,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, tomatoes, and dark-green vegetables, NS as to fat",32130880,6,1.33,281,0.2,11.59,72.26,16,175,187,0.6,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, fat added",32130890,0,1.22,290,0.2,11.47,72.64,12,180,174,0.61,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, no added fat",32130900,0,1.28,303,0.2,12.1,76.07,13,189,183,0.64,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and vegetables other than dark-green and/or tomatoes, NS as to fat",32130910,0,1.22,290,0.2,11.47,72.64,12,180,174,0.61,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, fat added",32131000,6,1.41,283,0.1,12.73,68.46,14,225,157,0.72,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, no added fat",32131010,6,1.48,295,0.1,13.39,71.47,15,237,164,0.76,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, and tomatoes, NS as to fat",32131020,6,1.41,283,0.1,12.73,68.46,14,225,157,0.72,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, fat added",32131030,0,1.4,283,0.1,12.84,68.3,17,227,172,0.72,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, no added fat",32131040,0,1.47,295,0.2,13.5,71.29,18,238,180,0.76,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, NS as to fat",32131050,0,1.4,283,0.1,12.84,68.3,17,227,172,0.72,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, fat added",32131060,6,1.62,268,0.2,12.21,69.61,17,216,177,0.68,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, no added fat",32131070,6,1.7,278,0.2,12.8,72.5,18,226,185,0.72,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, tomatoes, and dark-green vegetables, NS as to fat",32131080,6,1.62,268,0.2,12.21,69.61,17,216,177,0.68,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, fat added",32131090,0,1.37,283,0.1,12.87,68.34,14,229,162,0.72,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, no added fat",32131100,0,1.44,295,0.1,13.53,71.33,15,241,170,0.76,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with cheese, meat, and vegetables other than dark-green and/or tomatoes, NS as to fat",32131110,0,1.37,283,0.1,12.87,68.34,14,229,162,0.72,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with potatoes and/or onions, fat added",32131200,0,2.78,308,0.3,10.54,72.6,13,170,164,0.58,Yes
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with potatoes and/or onions, no added fat",32131210,0,2.94,323,0.3,11.17,76.32,13,179,174,0.62,No
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with potatoes and/or onions, NS as to fat",32131220,0,2.78,308,0.3,10.54,72.6,13,170,164,0.58,No
Egg,"Egg, cheese, ham, and bacon on bun",32202000,0,17.25,128,0.6,14.48,52.11,20,246,207,0.6,No
Egg,"Egg, cheese, and ham on English muffin",32202010,0,21.67,168,0.4,13.64,52.58,20,200,173,0.81,Yes
Egg,"Egg, cheese, and ham on biscuit",32202020,0,14.77,150,0.4,12.1,54.3,17,199,156,0.67,No
Egg,"Egg, cheese and ham on bagel",32202025,0,18.2,76,0.5,12.6,53.75,20,193,220,0.34,No
Egg,"Egg, cheese, and sausage on English muffin",32202030,0,17.44,163,0.2,13.38,48.82,17,180,147,0.95,Yes
Egg,"Egg, cheese, and sausage on bun",32202034,0,17.35,146,0.6,13.14,51.47,19,242,195,0.72,Yes
Egg,"Egg, cheese, and steak on bagel",32202045,0,22.99,130,0.2,15.95,44.9,22,204,145,1.27,No
Egg,"Egg, cheese, and sausage on biscuit",32202050,0,21.57,78,2,9.54,44.12,16,298,269,0.59,No
Egg,"Egg, cheese, and sausage griddle cake sandwich",32202055,0,22.04,132,0.6,10.77,47.03,14,307,146,0.53,Yes
Egg and sausage on biscuit,Egg and sausage on biscuit,32202060,0,21.05,161,0.2,11.13,44.48,13,312,149,0.75,Yes
Egg,"Egg, cheese, and bacon on biscuit",32202070,0,24.44,166,0.2,12.01,42.99,15,363,131,0.86,No
Egg,"Egg, cheese, and bacon griddle cake sandwich",32202075,0,26.19,147,0.8,12.03,45.85,21,184,158,0.4,Yes
Egg,"Egg, cheese, and bacon on English muffin",32202080,0,21.67,168,0.4,13.64,52.58,20,200,173,0.81,Yes
Egg,"Egg, cheese and bacon on bagel",32202085,0,21.41,159,0.6,13.65,49.58,23,250,173,0.57,Yes
Egg and bacon on biscuit,Egg and bacon on biscuit,32202090,0,19.06,235,0.5,11.33,46.67,16,159,167,0.69,Yes
Egg and ham on biscuit,Egg and ham on biscuit,32202110,0,16.37,156,0.4,10.64,56.6,16,165,166,0.62,No
Egg,"Egg, cheese and sausage on bagel",32202120,0,22.64,133,0.2,12.98,45.17,20,185,123,0.96,No
Egg and steak on biscuit,Egg and steak on biscuit,32202130,0,24.58,88,1.4,11.68,42.77,15,350,169,0.44,No
Egg and cheese on biscuit,Egg and cheese on biscuit,32202200,0,17.25,163,0.9,10.1,48.66,16,369,149,0.52,Yes
Egg salad sandwich,Egg salad sandwich,32203010,0,17.49,179,0.8,9.2,50.75,14,122,102,0.53,No
Scrambled egg sandwich,Scrambled egg sandwich,32204010,0,23.9,181,1.1,10.62,54.09,19,150,123,0.35,No
Egg drop soup,Egg drop soup,32300100,1,4.29,23,0.4,1.16,92.87,2,15,22,0.03,Yes
Garlic egg soup,"Garlic egg soup, Puerto Rican style",32301100,0,5.52,71,0.2,3.85,84.53,6,52,53,0.16,Yes
Egg white omelet,"Egg white omelet, scrambled, or fried, NS as to fat",32400055,0,0.69,4,0,10.18,82.35,10,15,153,0.07,No
Egg white omelet,"Egg white omelet, scrambled, or fried, made with margarine",32400060,0,0.73,0,0,10.17,83.72,10,15,154,0.07,No
Egg white omelet,"Egg white omelet, scrambled, or fried, made with oil",32400065,0,0.68,0,0,10.16,81.61,10,14,152,0.07,Yes
Egg white omelet,"Egg white omelet, scrambled, or fried, made with butter",32400070,0,0.68,14,0,10.21,82.67,10,16,153,0.08,Yes
Egg white omelet,"Egg white omelet, scrambled, or fried, made with cooking spray",32400075,0,0.92,0,0,10.76,86.45,11,15,161,0.08,No
Egg white omelet,"Egg white omelet, scrambled, or fried, NS as to fat type",32400078,0,0.69,4,0,10.18,82.35,10,15,153,0.07,Yes
Egg white omelet,"Egg white omelet, scrambled, or fried, no added fat",32400080,0,0.73,0,0,10.87,87.31,11,15,163,0.07,Yes
Egg white,"Egg white, omelet, scrambled, or fried, with cheese",32400100,0,1.14,15,0,11.48,77.24,13,87,152,0.24,Yes
Egg white,"Egg white, omelet, scrambled, or fried, with meat",32400200,0,0.8,13,0,11.48,79.13,12,43,179,0.16,Yes
Egg white,"Egg white, omelet, scrambled, or fried, with vegetables",32400300,1,1.27,4,0.3,9.29,83.24,18,20,200,0.06,No
Egg white,"Egg white, omelet, scrambled, or fried, with cheese and meat",32400400,0,1.17,19,0,12.18,75.64,13,99,168,0.28,No
Egg white,"Egg white, omelet, scrambled, or fried, with cheese and vegetables",32400500,1,1.6,13,0.3,10.55,78.59,19,83,194,0.22,No
Egg white,"Egg white, omelet, scrambled, or fried, with meat and vegetables",32400600,1,1.29,9,0.3,10.16,81.19,18,37,212,0.12,Yes
Egg white,"Egg white, omelet, scrambled, or fried, with cheese, meat, and vegetables",32400700,0,1.41,18,0.1,11.66,76.44,17,96,189,0.27,No
Meringues,Meringues,32401000,0,74.24,0,0,7.31,17.86,7,10,111,0.05,No
Egg substitute,"Egg substitute, omelet, scrambled, or fried, fat added",33001010,0,1.88,4,0,9.34,81.82,14,68,199,0.26,Yes
Egg substitute,"Egg substitute, omelet, scrambled, or fried, no added fat",33001050,0,1.99,0,0,9.97,86.74,15,72,212,0.27,Yes
Egg substitute,"Egg substitute, omelet, scrambled, or fried, with cheese",33401000,0,2.17,15,0,10.74,76.77,16,134,193,0.4,No
Egg substitute,"Egg substitute, omelet, scrambled, or fried, with meat",33401100,0,1.84,13,0,10.75,78.67,15,89,220,0.32,No
Egg substitute,"Egg substitute, omelet, scrambled, or fried, with vegetables",33401200,1,2.31,4,0.3,8.56,82.78,21,66,241,0.23,Yes
Egg substitute,"Egg substitute, omelet, scrambled, or fried, with cheese and meat",33401300,0,2.13,19,0,11.5,75.21,16,142,206,0.43,No
Egg substitute,"Egg substitute, omelet, scrambled, or fried, with cheese and vegetables",33401400,1,2.52,13,0.3,9.89,78.18,22,125,230,0.36,Yes
Egg substitute,"Egg substitute, omelet, scrambled, or fried, with meat and vegetables",33401500,1,2.25,9,0.3,9.48,80.76,21,80,250,0.27,Yes
Egg substitute,"Egg substitute, omelet, scrambled, or fried, with cheese, meat, and vegetables",33401600,0,2.32,18,0.1,11.01,76.03,19,137,225,0.41,Yes
Beans,"Beans, NFS",41100990,0,23.78,0,8.3,8.34,59.15,51,135,386,0,Yes
Beans,"Beans, from dried, NS as to type, fat added",41101010,0,23.78,0,8.3,8.34,59.15,51,135,386,0,No
Beans,"Beans, from dried, NS as to type, no added fat",41101020,0,25.44,0,8.9,8.92,63.27,55,144,413,0,No
Beans,"Beans, from canned, NS as to type, fat added",41101060,0,24.1,0,8,7.66,58.98,52,149,441,0,No
Beans,"Beans, from canned, NS as to type, no added fat",41101070,0,25.04,0,8.3,7.96,63.67,54,155,458,0,Yes
Beans,"Beans, from fast food / restaurant, NS as to type",41101080,0,22.6,0,5.7,8.77,56.83,57,102,505,0,No
White beans,"White beans, NFS",41101090,0,23.32,0,5.9,9.04,58.63,59,105,521,0,No
White beans,"White beans, from dried, fat added",41101110,0,23.32,0,5.9,9.04,58.63,59,105,521,0,Yes
White beans,"White beans, from dried, no added fat",41101120,0,24.94,0,6.3,9.67,62.71,63,112,558,0,Yes
White beans,"White beans, from canned, fat added",41101140,0,29.76,0,6.9,10.43,51.87,72,193,497,0,No
White beans,"White beans, from canned, no added fat",41101180,0,30.91,0,7.2,10.84,55.72,75,200,516,0,No
White beans,"White beans, from canned, reduced sodium",41101210,0,29.76,0,6.9,10.43,51.87,72,193,497,0,Yes
Black beans,"Black beans, NFS",41101990,0,22.04,0,8.1,8.23,61.1,65,130,330,0,Yes
Black beans,"Black beans, from dried, fat added",41102010,0,22.04,0,8.1,8.23,61.1,65,130,330,0,No
Black beans,"Black beans, from dried, no added fat",41102020,0,23.57,0,8.6,8.81,65.35,70,139,353,0,Yes
Black beans,"Black beans, from canned, fat added",41102040,0,23.43,0,9.8,8.54,60.01,50,153,436,0,Yes
Black beans,"Black beans, from canned, no added fat",41102080,0,24.34,0,10.1,8.87,64.18,51,159,453,0,Yes
Black beans,"Black beans, from canned, reduced sodium",41102110,0,23.43,0,9.8,8.54,60.01,50,153,436,0,Yes
Black beans,"Black beans, from fast food / restaurant",41102150,0,21.36,0,7.8,7.98,59.23,63,126,320,0,No
Black beans with meat,Black beans with meat,41102170,0,19.06,11,7,10.61,61.83,59,147,328,0.22,No
Fava beans,"Fava beans, cooked",41102210,0,18.26,0,5,7.06,66.49,40,116,249,0,No
Lima beans,"Lima beans, NFS",41102990,0,19.4,0,6.5,7.25,64.86,40,103,472,0,Yes
Lima beans,"Lima beans, from dried",41103010,0,19.4,0,6.5,7.25,64.86,40,103,472,0,No
Pink beans,"Pink beans, cooked",41103070,0,25.94,0,4.9,8.42,56.88,60,153,472,0,No
Pinto beans,"Pinto beans, NFS",41103990,0,24.37,0,8.4,8.37,58.51,46,137,405,0,Yes
Pinto beans,"Pinto beans, from dried, fat added",41104010,0,24.37,0,8.4,8.37,58.51,46,137,405,0,Yes
Pinto beans,"Pinto beans, from dried, no added fat",41104020,0,26.06,0,8.9,8.96,62.58,50,146,433,0,No
Pinto beans,"Pinto beans, from canned, fat added",41104040,0,24.33,0,7.4,7.37,58.64,53,147,442,0,No
Pinto beans,"Pinto beans, from canned, no added fat",41104080,0,25.27,0,7.7,7.66,63.51,55,153,459,0,Yes
Pinto beans,"Pinto beans, from canned, reduced sodium",41104110,0,24.35,0,7.4,7.38,58.77,53,148,443,0,Yes
Pinto beans,"Pinto beans, from fast food / restaurant",41104200,0,23.62,0,8.1,8.12,56.72,45,132,393,0,No
Pinto beans with meat,Pinto beans with meat,41104250,0,21.07,11,7.2,10.73,59.6,43,152,393,0.22,Yes
Kidney beans,"Kidney beans, NFS",41105990,0,21.19,0,6.9,8.06,62.21,42,132,375,0,Yes
Kidney beans,"Kidney beans, from dried, fat added",41106010,0,21.19,0,6.9,8.06,62.21,42,132,375,0,Yes
Kidney beans,"Kidney beans, from dried, no added fat",41106020,0,22.66,0,7.4,8.62,66.54,45,141,401,0,Yes
Kidney beans,"Kidney beans, from canned, fat added",41106040,0,23.79,0,7.7,8.37,58.4,48,170,417,0,No
Kidney beans,"Kidney beans, from canned, no added fat",41106080,0,24.72,0,8,8.7,63.27,50,177,433,0,No
Kidney beans,"Kidney beans, from canned, reduced sodium",41106110,0,23.79,0,8.5,8.37,58.4,48,170,417,0,No
Kidney beans,"Kidney beans, from fast food / restaurant",41106150,0,20.54,0,6.7,7.81,60.31,41,128,363,0,Yes
Kidney beans with meat,Kidney beans with meat,41106170,0,18.33,11,5.9,10.46,62.79,39,148,367,0.22,No
Peruvian beans,"Peruvian beans, from dried",41106510,0,23.49,0,9.7,8.51,58.53,69,170,302,0,No
Soybeans,"Soybeans, cooked",41107010,0,7.77,0,5.6,16.92,58.13,80,228,479,0,Yes
Mung beans,"Mung beans, cooked",41108010,0,17.8,0,7.1,6.52,67.53,45,92,247,0,Yes
Baked beans,Baked beans,41201010,0,21.57,7,4.4,4.52,71.48,30,88,231,0,No
Baked beans,"Baked beans, vegetarian",41201020,0,21.14,0,4.1,4.75,72,27,74,224,0,No
Baked beans from fast food / restaurant,Baked beans from fast food / restaurant,41201050,0,23.29,7,4.3,4.38,69.2,29,85,224,0,Yes
Beans and tomatoes,"Beans and tomatoes, no added fat",41202505,0,18.76,0,6.4,6.37,72.41,42,106,374,0,Yes
Beans and tomatoes,"Beans and tomatoes, fat added",41202510,0,17.84,0,6.1,6.05,68.68,39,100,355,0,No
Black bean salad,Black bean salad,41203030,17,12.61,0,3.4,3.08,79.14,20,60,211,0,Yes
Refried beans,Refried beans,41205010,0,13.55,0,3.7,4.98,77.75,35,92,319,0,Yes
Refried beans,"Refried beans, from fast food / restaurant",41205017,0,16.28,5,7.8,6.7,65.54,43,124,390,0.08,Yes
Refried beans with meat,Refried beans with meat,41205030,0,11.76,11,3.2,7.81,76.15,33,114,319,0.22,Yes
Refried beans,"Refried beans, from canned, reduced sodium",41205040,0,13.55,0,3.7,4.98,77.75,35,92,319,0,No
Bean dip,"Bean dip, made with refried beans",41205050,0,15.89,0,4.9,5.44,72.95,40,105,368,0,No
Layer dip,Layer dip,41205055,19,6.53,24,2.1,5.31,74.34,19,110,223,0.19,No
Hummus,"Hummus, plain",41205070,0,19.86,0,5.9,8.18,51.5,45,236,251,0,Yes
Hummus,"Hummus, flavored",41205075,0,19.62,0,5.9,8.1,51.93,46,234,252,0,No
